Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
ACER PREDATOR HELIOS 18 AI Core Ultra 9 275HX (64GB-1TB SSD) RTX 5080 16GB,995999,1050000,5,,,acer,PREDATOR HELIOS 18 AI Core Ultra 9 275HX  RTX 5080 16GB,Ultra 9,,,0
Acer Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook (16GB-1TB SSD),502999,599999,16,,,acer,Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook,,,,0
Acer Predator Helios Neo PH16-72-903U Intel Core i9-14900HX (32GB-1TB SSD),480999,499999,4,,,acer,Predator Helios Neo PH16-72-903U Intel Core i9-14900HX,Core i9,,,0
ACER PREDATOR HELIOS 16 AI Core Ultra 9 275HX (32GB-1TB SSD) RTX 5070Ti 12GB,684999,724000,5,,,acer,PREDATOR HELIOS 16 AI Core Ultra 9 275HX  RTX 5070Ti 12GB,Ultra 9,,,0
Acer Predator Helios Neo PH16-72-97T1 Intel Core i9-14900HX (32GB-1TB SSD),781999,950000,18,,,acer,Predator Helios Neo PH16-72-97T1 Intel Core i9-14900HX,Core i9,,,0
Acer Nitro V15 - Ci5-13420H (16GB-512GB) RTX 4050 6GB,247999,275000,10,,,acer,Nitro V15 - Ci5-13420H  RTX 4050 6GB,,,,0
Acer Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H (32GB-1TB SSD),430999,550000,22,,,acer,Predator Helios Neo PHN14-51-97X1 Intel Core Ultra 9-185H,Ultra 9,,,0
Acer Predator Helios Neo PH16-72-99PA Intel Core i9-14900HX (32GB-1TB SSD),430999,449999,4,,,acer,Predator Helios Neo PH16-72-99PA Intel Core i9-14900HX,Core i9,,,0
Acer Nitro V15 13th Gen Core i9 13900H (16GB-512GB SSD),312999,325000,4,,,acer,Nitro V15 13th Gen Core i9 13900H,Core i9,16GB-512GB SSD,16,1
Acer Nitro V15 13th Gen Core i7-13620H (16GB-512GB SSD),260999,289999,10,,,acer,Nitro V15 13th Gen Core i7-13620H,Core i7,16GB-512GB SSD,16,1
Acer Nitro V16 14th Gen Core i7 14650HX (16GB-512GB SSD),349999,415999,16,,,acer,Nitro V16 14th Gen Core i7 14650HX,Core i7,16GB-512GB SSD,16,1
Acer Nitro V16 AMD RYZEN 7 8845HS (16GB-512GB SSD),300999,330000,9,,,acer,Nitro V16 AMD RYZEN 7 8845HS,,16GB-512GB SSD,16,1
Acer Nitro V15 13th Gen Core i7-13620H (16GB-512GB SSD) RTX 4060 8GB Graphics,295999,305000,3,,,acer,Nitro V15 13th Gen Core i7-13620H  RTX 4060 8GB Graphics,Core i7,16GB-512GB SSD,16,1
Apple Macbook Air 13 MW0W3 M4,286999,299999,4,,,apple,Macbook Air 13 MW0W3 M4,M4,,,0
Apple MacBook Air MXCV3 M3 8-Core Chip,412999,450000,8,,,apple,MacBook Air MXCV3 M3 8-Core Chip,M3,,,0
Apple MacBook Air MRXW3 M3 Chip,352999,400000,12,,,apple,MacBook Air MRXW3 M3 Chip,M3,,,0
Apple Macbook Air 15 MC7C4 M4 Chip,489999,499999,2,,,apple,Macbook Air 15 MC7C4 M4 Chip,M4,,,0
Apple Macbook Pro 14 MTL73 (8GB-512GB),452999,500000,9,,,apple,Macbook Pro 14 MTL73,,,,0
Apple MACBOOK AIR 13” M3 CHIP MRXV3 8-256,288999,400000,28,5,1,apple,MACBOOK AIR 13” M3 CHIP MRXV3 8-256,M3,,,0
Apple MacBook Air 15.3 M2 MQKX3 (8GB-512GB),406999,420000,3,,,apple,MacBook Air 15.3 M2 MQKX3,M2,,,0
Apple MacBook Air MRXN3 M3 8-Core Chip,288999,300000,4,,,apple,MacBook Air MRXN3 M3 8-Core Chip,M3,,,0
Apple MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,354999,400000,11,,,apple,MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,M2,,,0
Apple Macbook Air 13 MW123 M4 Chip,281999,350000,19,4.3,5,apple,Macbook Air 13 MW123 M4 Chip,M4,,,0
Apple MacBook Pro A2289 13 Inches Core i5 (8GB-512GB),242999,380000,36,,,apple,MacBook Pro A2289 13 Inches Core i5,Core i5,,,0
Apple Macbook Pro MRX33 M3 Pro 14 (18GB-512GB) Black,554999,600000,8,,,apple,Macbook Pro MRX33 M3 Pro 14  Black,M3,,,0
Apple Macbook Pro MRX33 M3 Pro 14.2 (18GB-512GB),544999,600000,9,5,3,apple,Macbook Pro MRX33 M3 Pro 14.2,M3,,,0
Apple MacBook Air MC6T4 M4 Chip,286999,299999,4,,,apple,MacBook Air MC6T4 M4 Chip,M4,,,0
Apple MacBook Air 15 Inches With M3 Chip (MXD43),395999,449999,12,,,apple,MacBook Air 15 Inches With M3 Chip,M3,,,0
Apple Macbook Air 13 MW0Y3 M4,286999,299999,4,,,apple,Macbook Air 13 MW0Y3 M4,M4,,,0
Apple MacBook Pro 14.2” MTL83 (8GB-1TB),494999,515000,4,,,apple,MacBook Pro 14.2” MTL83,,,,0
Apple MacBook Air 15 Inches With M3 Chip (MRYV3),399999,449999,11,,,apple,MacBook Air 15 Inches With M3 Chip,M3,,,0
Apple MacBook Air 13 M1 MGN63 (8GB-256GB),203499,258000,21,5,2,apple,MacBook Air 13 M1 MGN63,M1,,,0
Apple MacBook Air 15 MW1K3 M4 Chip,450999,460000,2,,,apple,MacBook Air 15 MW1K3 M4 Chip,M4,,,0
Apple Macbook Pro M3 A2918 (8GB-512GB SSD),494999,600000,18,,,apple,Macbook Pro M3 A2918,M3,8GB-512GB SSD,8,1
ASUS Expertbook B1402CVA 13th Gen Core i7 (16GB-512GB),156999,200000,22,,,asus,Expertbook B1402CVA 13th Gen Core i7,Core i7,,,0
ASUS TUF GAMING A14 FA-401WU RYZEN AI 9 HX370 (32GB-1TB SSD) RTX 4050 6GB,501999,549000,9,,,asus,TUF GAMING A14 FA-401WU RYZEN AI 9 HX370  RTX 4050 6GB,,,,0
ASUS ROG Zephyrus G14 GA403UM Ryzen 9-270 (16GB-1TB SSD) RTX 5060 8GB,499999,550000,9,,,asus,ROG Zephyrus G14 GA403UM Ryzen 9-270  RTX 5060 8GB,Ryzen 9,,,0
ASUS ROG STRIX G16 G615JMR Ci7 14650HX (16GB-1TB SSD) RTX 5060 8GB,449999,570000,21,,,asus,ROG STRIX G16 G615JMR Ci7 14650HX  RTX 5060 8GB,,,,0
ASUS ZenBook 14 Q415MA Core Ultra 5 125H,191999,250000,23,,,asus,ZenBook 14 Q415MA Core Ultra 5 125H,Ultra 5,,,0
Asus Zenbook 14 Q425MA Core Ultra 7 155H,265999,300000,11,,,asus,Zenbook 14 Q425MA Core Ultra 7 155H,Ultra 7,,,0
Asus Expertbook B1403CVA Ci7 13620H (16GB-1TB SSD),194999,245000,20,,,asus,Expertbook B1403CVA Ci7 13620H,,,,0
ASUS ExpertBook B1 502CB 12th Ci5 235U,147999,170000,13,,,asus,ExpertBook B1 502CB 12th Ci5 235U,,,,0
ASUS Zenbook 14 UX3405C Intel Core Ultra 9 285H (32GB-1TB SSD),389999,499999,22,,,asus,Zenbook 14 UX3405C Intel Core Ultra 9 285H,Ultra 9,,,0
ASUS TUF FX507VV-Ci7-13620H (16GB 1TB) RTX 4060 8GB,356999,400000,11,,,asus,TUF FX507VV-Ci7-13620H  RTX 4060 8GB,,,,0
ASUS TUF F16 FX608JMR Ci7 14650HX (32GB-1TB SSD) RTX 5060 8GB,444999,475000,6,,,asus,TUF F16 FX608JMR Ci7 14650HX  RTX 5060 8GB,,,,0
ASUS TUF F16 FX608LM Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,549999,600000,8,,,asus,TUF F16 FX608LM Ultra 9-275HX  RTX 5060 8GB,Ultra 9,,,0
ASUS ROG STRIX G614J 13TH CI7 13650HX (32GB-1TB SSD),378999,399999,5,,,asus,ROG STRIX G614J 13TH CI7 13650HX,,,,0
ASUS EXPERTBOOK B1403CVA Ci7-1355U (16GB -512GB SSD),181999,230000,21,,,asus,EXPERTBOOK B1403CVA Ci7-1355U,,16GB -512GB SSD,16,1
ASUS EXPERTBOOK B1503CVA Ci5-1334U (16GB -512GB SSD),153999,200000,23,,,asus,EXPERTBOOK B1503CVA Ci5-1334U,,16GB -512GB SSD,16,1
ASUS Zenbook 14 UX3405CA Intel Core Ultra 7 255H (16GB-512GB SSD),285999,330000,13,,,asus,Zenbook 14 UX3405CA Intel Core Ultra 7 255H,Ultra 7,16GB-512GB SSD,16,1
Asus ExpertBook B3402FVA Ci7 1355U (16GB-512GB SSD),209999,260000,19,,,asus,ExpertBook B3402FVA Ci7 1355U,,16GB-512GB SSD,16,1
ASUS TUF GAMING F15-FX507VV Ci7-13620H (16GB-512GB SSD) RTX 4060 8GB,359999,400000,10,,,asus,TUF GAMING F15-FX507VV Ci7-13620H  RTX 4060 8GB,,16GB-512GB SSD,16,1
ASUS EXPERTBOOK B1503CVA Ci7 1355U (16GB-512GB SSD),181999,200000,9,,,asus,EXPERTBOOK B1503CVA Ci7 1355U,,16GB-512GB SSD,16,1
